feature,vif
at_supply,115.65960433793391
at_demand,99.36636993733643
rsi_1h,94.64839000367719
tnx_level,83.68350921702697
at_zone,82.42565299005493
rsi_x_supply,81.84347548752417
rsi_x_demand,47.65523855224381
vix_level,19.081878897912734
atr_pct_1h,15.186557236194673
atr_x_zone,10.501085449734791
macd_pct_1h,5.0108773148771535
entropy_20,4.005311957091169
macd_x_supply,3.8554350277030993
macd_x_demand,3.773464207444013
ema_cross_1h,3.2067951978402665
smc_bias_1h,3.1377182350975477
fft_power_8,2.91291190143995
fft_power_29,2.8035042654926063
zone_dist_atr,2.7912212636863982
fft_power_20,2.765237812275399
ema_x_supply,2.4868668536239484
ret_5,2.0774164959160286
ema_x_demand,2.0473041965404697
wavelet_phase_interference,1.9813466184604227
wavelet_energy_s32,1.6172763490041757
copula_residual_dxy,1.5207606172506811
wavelet_energy_s16,1.5129137320246058
wavelet_energy_s8,1.4600262408378413
ret_1,1.3577786220864148
wavelet_energy_s4,1.3507816128850352
fft_phase_29,1.033267720595982
fft_phase_20,1.0223845703447139
fft_phase_8,1.0098328957059235
dxy_return_1d,1.0038349861814269
